Name,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i,I,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr)
075403.60+481428.0,75403.617,481428.05,0.18,0.276,2631.0,84.8,2631,84.8,1.000,23.76,17.148,-23.06,5.24,4.3537058491286777e+27,23.7970488787363,24.313560601099702,1214.54220983078
080829.17+440754.1,80829.23,440755.1,1.19,0.275,61.0,11.2,61,11.2,1.000,22.12,17.615,-22.58,0.19,4.335640891078846e+27,22.1586463062958,22.674919685928607,27.910762264629607
081652.24+425829.4,81652.25200000001,425829.21,0.23,0.23399999999999999,232.0,13.9,232,13.9,1.000,22.54,16.636,-23.21,0.29,3.608001753056804e+27,22.5792313286831,23.0855681907649,71.848913052111
082205.24+455349.1,82205.23,455349.18,0.13,0.3,222.0,11.2,222,11.2,1.000,22.77,17.695,-22.69,0.73,4.7916813619235613e+27,22.8065386995728,23.3287152964814,125.767175660583
083353.88+422401.8,83353.88,422401.75,0.05,0.249,209000.0,6271.0,209000,6270.1,1.000,25.56,16.48,-23.5,224.98,3.8712287562627866e+27,25.5950538204111,26.1050637775668,75147.716657978
083443.80+382632.8,83443.82,382633.09,0.37,0.28800000000000003,128.0,8.0,128,8.0,1.000,22.49,17.527,-22.77,0.36,4.5716393071908787e+27,22.5265637499616,23.045921104372,65.5802572623196
083658.90+442602.2,83658.909,442602.2,0.1,0.254,2596.0,79.0,2596,79.0,1.000,23.67,15.434,-24.59,1.07,3.959742378097726e+27,23.7088484152085,24.220072941048606,979.320741404745
084313.41+535718.8,84313.396,535718.73,0.14,0.218,410.0,14.7,410,14.7,1.000,22.72,16.44,-23.25,0.43,3.331108397109923e+27,22.7571712512102,23.2595406033118,107.248842811993
084347.84+203752.4,84347.85,203752.48,0.16,0.22699999999999998,7960.0,262.9,5361,161.6,0.673,24.05,17.136,-22.64,15.68,3.4863634037634187e+27,24.0848682400635,24.5894756842662,2292.5968740252397
084755.63+263147.6,84755.6,263148.6,1.08,0.282,16.8,5.0,16.8,5.0,1.000,21.58,17.662,-22.59,0.05,4.46240704566743e+27,21.623657511002804,22.1415953789245,8.17424011083655
