col1,Name_1,SDSSName,RAobs_1,RAoff,DECobs_1,DECoff,sz_maj,szmajerr,sz_min,szminerr,PA,PAerr,IFimfit,IFerrimfit,PFimfit,PFerrimfit,IFimfitSF,IFerrimfitSF,PFimfitSF,PFerrimfitSF,Flux,FluxErr,Detection,Freq.,RO_Offset,RMS,PF,PF_err,IF,IF_err,S/N,Resolved,SelfCal,Flags,SB,RAobs_Kell,Decobs_Kell,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i,I_2a,MI_Z2,LOGL2500,R,LD_cm,Lrad_K&R_Kell,Lrad_K&R_McC
9,0847+2631,084755.63+263147.6,84755.63,0.0,263147.689,0.1,549.0,60.0,452.0,42.0,65.0,19.0,41.0,6.3,27.0,2.7,0.0,0.0,0.0,0.0,41.0,6.3,1.0,5.999106000000000,0.1,3.6,27.6,2.6,38.1,5.7,7.66666666666667,1.0,0.0,0.0,1,84755.6,263148.6,1.08,0.282,16.8,5.0,16.8,5.0,1.000,21.58,17.662,-22.59,-23.605535701292900,29.601404322820500,0.05,4.51863254790691E+27,28.268181912366,28.6556564873598
30,0944+3608,094427.99+360837.1,94427.994,-0.05,360837.029,-0.07,593.0,122.0,429.0,70.0,24.0,20.0,71.0,19.0,39.1,7.2,42.0,21.0,22.4,7.7,113.0,28.3196045170126,1.0,5.9990880000000000,0.0860232526704263,6.4,44.2,6.3,74.0,16.0,6.90625,1.0,0.0,0.0,1,94428.006,360837.57,0.51,0.228,94.0,8.6,94.0,8.6,1.000,22.13,17.03,-22.76,-23.476828360119,29.549921386351,0.17,3.54603302719345E+27,28.8110788817448,28.8910294716286
34,0950+3926,095048.38+392650.4,95048.377,0.04,392650.487,0.09,437.0,23.0,383.0,18.0,90.0,14.0,182.0,15.0,154.4,7.7,0.0,0.0,0.0,0.0,182.0,15.0,1.0,5.999064,0.09848857801796100,7.2,155.5,5.7,165.0,10.0,21.5972222222222,0.0,0.0,0.0,1,95048.392,392650.24,0.21,0.20600000000000000,155.0,11.0,155.0,11.0,1.000,22.25,15.952,-23.62,-24.2903100156671,29.8753140485702,0.1,3.16322431630272E+27,28.9314124725196,29.0011521623344
39,1000+1047,100033.88+104723.7,100033.886,-0.09,104723.745,0.09,429.9,6.5,365.8,4.7,32.1,3.2,581.0,14.0,549.9,7.7,0.0,0.0,0.0,0.0,581.0,14.0,1.0,5.999312000000000,0.127279220613579,7.3,550.3,6.0,558.0,11.0,75.38356164383560,0.0,0.0,0.0,1,100033.86,104723.93,0.37,0.226,233.0,13.9,233.0,13.9,1.000,22.51,16.244,-23.53,-24.2647192985822,29.8650777617362,0.2,3.51090368429298E+27,29.1968715966774,29.5936918080417
40,1004+1510,100438.82+151057.3,100438.825,-0.07,151057.241,-0.06,,,,,,,205.0,20.0,149.9,9.2,38.0,14.0,22.7,5.3,243.0,24.4131112314674,1.0,5.999282,0.0921954445729289,6.2,150.5,5.0,185.0,10.0,24.274193548387100,1.0,0.0,0.0,1,100438.85,151056.87,0.61,0.21900000000000000,420.0,25.4,420.0,25.4,1.000,22.74,16.841,-22.86,-23.561619853346100,29.583837983641800,0.63,3.38846581263929E+27,29.4226793809435,29.1850363641439
43,1007+5007,100744.54+500746.6,100744.55900000000,-0.18,500746.80700000000,0.21,707.0,155.0,378.0,49.0,49.6,7.9,44.0,12.0,31.4,5.3,0.0,0.0,0.0,0.0,44.0,12.0,1.0,5.99898,0.276586333718787,7.6,34.0,4.7,32.0,8.5,4.47368421052632,1.0,0.0,0.0,1,100744.55,500746.78,0.2,0.212,99.8,7.6,99.8,7.6,1.000,22.08,16.8,-22.83,-23.508584508828900,29.562623845834900,0.14,3.2668338324597E+27,28.7675588303435,28.4118809655423
44,1010+3003,101000.68+300321.5,101000.68700000000,-0.09,300321.587,0.09,442.2,10.1,376.6,7.4,86.3,4.9,503.0,18.0,431.3,9.1,0.0,0.0,0.0,0.0,503.0,18.0,1.0,5.999164,0.127279220613579,6.7,431.5,7.4,483.0,14.0,64.4029850746269,0.0,0.0,0.0,1,101000.685,300321.53,0.07,0.256,490.0,24.0,490.0,24.0,1.000,22.96,16.93,-23.11,-24.0233441106245,29.7685276865531,0.8,4.04460905010623E+27,29.6394772725044,29.6508491775318
49,1034+6053,103421.71+605318.1,103421.70600000000,0.04,605318.186,0.08,1220.0,350.0,760.0,190.0,36.0,21.0,143.0,45.0,27.6,7.3,0.0,0.0,0.0,0.0,143.0,45.0,1.0,5.998892,0.0894427190999916,8.6,36.1,8.2,58.0,20.0,4.19767441860465,0.0,1.0,0.0,1,0.0,0.0,0.0,0.228,13.0,20.7,13.0,1.0,21.46,17.118,-22.67,0.04,-23.389049978173800,29.514810033572800,,3.54603302719345E+27,27.951894380452,28.9932870656102
51,1040+6002,104041.50+600239.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,13.2,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,,0.0,4.4,10.0,,10.0,,,1.0,0.0,0.0,1,104041.42,600239.6,0.67,0.297,19.7,6.3,19.7,6.3,1.000,21.7,17.771,-22.59,-23.672745608626,29.628288285754,0.07,4.79682079351871E+27,28.3877162066057,28.21382391165
52,1041+2828,104111.97+282805.0,104111.97100000000,-0.01,282805.144,0.15,445.0,32.0,368.0,22.0,66.0,13.0,98.0,11.0,90.3,5.9,19.9,3.7,37.5,3.2,117.9,11.6056020955399,1.0,5.999201,0.150332963783729,7.1,97.7,5.2,124.0,11.0,13.760563380281700,1.0,0.0,0.0,1,104111.96,282804.87,0.19,0.21100000000000000,116.0,9.2,116.0,9.2,1.000,22.14,16.17,-23.45,-24.1299062886832,29.8111525577766,0.09,3.24952400990071E+27,28.8283792324136,28.8354350482818
