Name,z,S1p4_FIRST,S1p4_err,S6_FIRST,S6_FIRST_err,S6_FIRST_alpha0,S6_FIRST_alpha0_err,L6_FIRST,L6_FIRST_alpha0,L6_FIRST_uplim,L6_FIRST_lolim,DATE_FIRST,S3_VLASS,S3_quaderr,S3_VLASS_final,S3_quaderr_final,L6_VLASS,L6_VLASS_alpha0,L6_VLASS_uplim,L6_VLASS_lolim,S6_VLASS,S6_VLASS_err,S6_VLASS_alpha0,S6_VLASS_alpha0_err,DATE_VLASS,S(6)_p,pmp,L6_Kell,L6_Kell_alpha0,L6_Kell_uplim,L6_Kell_lolim,DATE_VLAC,S6_Aconfig,S6_Aconfig_err,L6_Aconfig,L6_Aconfig_alpha0,L6_Aconfig_uplim,L6_Aconfig_lolim,DATE_VLAA,CLASS,Alpha
075403.60+481428.0,0.276,7910,160,2856.0133503387597,57.7701815492037,7910.00000000001,160.0,23.800933061538895,24.1692538397631,0.00869705122439382,0.00887478099136627,1997-04-10,4070.0,820.0,4395.6,952.860785164339,23.777469996082395,23.9140955209776,0.0852106511989561,0.106114038274507,2705.80919164945,586.554616175261,4395.59999999999,952.860785164337,2019-05-10,2631.0,84.8,23.765293676420697,23.6911982043511,0.0137769358973626,0.0142283342806443,2011-1-15,,,0.0,0.0,0.0,0.0,2021-1-1,RI,-0.7
083658.90+442602.2,0.254,9150,120,3303.73225734508,43.3276361619027,9150.0,120.0,23.7840593099044,24.1576672846519,0.00565864007804883,0.00573334375294246,1997-02-28,3940.0,805.0,4255.2,933.669862990126,23.6832534464795,23.825166167898,0.0861528014005171,0.107581780062966,2619.38285383264,574.741217864402,4255.2,933.669862990125,2019-05-24,2596.0,79.0,23.6793591542601,23.6105508787138,0.0130190982289156,0.0134214725799689,2011-1-15,,,0.0,0.0,0.0,0.0,2021-1-2,RI,-0.7
091702.11+212337.5,0.202,4190,130,1512.8566293197698,46.93827250872789,4189.99999999998,129.999999999999,23.2259963142363,23.6124794371634,0.0132697238486168,0.0136879893891012,1998-09-15,4190.0,850.0,4525.2,986.8027078681939,23.491115323052203,23.645903192650298,0.085671643801173,0.106831184448883,2785.58734963421,607.448320432781,4525.19999999999,986.8027078681911,2019-04-22,4790.0,144.4,23.7265340549783,23.670600927611602,0.012898838620281,0.0132937003892954,2011-1-15,,,0.0,0.0,0.0,0.0,2021-1-3,RI,0.0
094215.12+090015.8,0.213,1690,130,610.197542613462,46.9382725087278,1690.0,130.0,22.882062053259002,23.2657757429461,0.0321846833714012,0.0347621062592119,2000-01-15,1300.0,279.0,1495.0,342.416241583252,23.0605117946347,23.2125302309929,0.0895663582809335,0.112968697213551,920.280448975322,210.781921431891,1495.0,342.416241583252,2017-10-02,1162.0,38.4,23.1617977269934,23.1030951663868,0.0141198586985031,0.0145943975247714,2011-1-15,,,0.0,0.0,0.0,0.0,2021-1-4,RI,0.0
094603.94+013923.6,0.22,7330,150,2646.59644222289,54.159545202378304,7329.99999999999,150.0,23.5500883964994,23.9320527653208,0.008797623223333459,0.0089795303988276,1998-07-24,3810.0,773.0,4381.5,955.5607635833529,23.5583024912165,23.708571606708897,0.0856793313384799,0.106843160120981,2697.12962353537,588.216647848623,4381.5,955.560763583352,2018-01-02,2471.0,76.1,23.5202734175541,23.4598215360818,0.0131732504432207,0.0135853614113657,2011-1-15,,,0.0,0.0,0.0,0.0,2021-1-5,RI,-0.7
101719.02+151620.8,0.245,450,0,162.478635607135,0.0,450.0,0.0,22.4411811957705,22.816978900062104,0.0,0.0,1999-11-15,330.0,0.0,330.0,0.0,22.538177875202102,22.6822803261646,0.0,0.0,203.138828201911,0.0,330.0,0.0,2017-10-06,1508.0,46.1,23.4087862738227,23.342167727820502,0.0130776189098445,0.0134836754327982,2010-10-15,,,0.0,0.0,0.0,0.0,2021-1-6,RI,0.0
105607.79+134443.6,0.284,1630,120,588.533724532512,43.3276361619027,1630.0,120.0,23.1425971653789,23.5090178990597,0.0308504442823366,0.0332106571107884,1999-12-15,964.0,220.0,1108.6,268.094314270184,23.2068796885604,23.3416051689122,0.0940626445309571,0.120234218619284,682.4233483170871,165.031408631636,1108.6,268.094314270185,2017-12-28,512.0,24.4,23.0820957722446,23.006100255631598,0.0202188082037305,0.0212062640294864,2010-10-16,,,0.0,0.0,0.0,0.0,2021-1-7,RI,-0.7
110704.52+320630.0,0.243,2790,140,1007.36754076424,50.54890885555321,2789.9999999999905,140.0,23.2257063011317,23.6019927613764,0.0212634170805119,0.0223583293367897,1994-06-11,1070.0,240.0,1155.6,275.193155263717,23.074604884359303,23.2191960912749,0.0927693206990218,0.118124122848729,711.355242030692,169.40125784684201,1155.6,275.193155263716,2019-06-04,800.0,29.4,23.1256083351439,23.0594785450947,0.0156740440360555,0.0162609823149614,2010-10-17,,,0.0,0.0,0.0,0.0,2021-1-8,RI,-0.7
113109.24+263207.8,0.244,1850,130,667.967724162669,46.938272508728105,1850.0,130.0,23.051214688038698,23.427256672084198,0.0294934618585173,0.0316432814954649,1995-11-13,1030.0,250.0,1112.4,284.287840162044,23.0619991931568,23.2063459238733,0.0988383719178786,0.128171818407376,684.7625227024411,174.99969309869599,1112.4,284.287840162044,2019-04-12,892.0,31.7,23.176824064305602,23.1104497980573,0.0151660892467374,0.0157149314754122,2010-10-18,,,0.0,0.0,0.0,0.0,2021-1-9,RI,-0.7
114954.98+044812.8,0.27,1360,150,491.04654316822996,54.159545202378304,1360.0,150.0,23.0150572110007,23.3848108566253,0.04543803892295191,0.0507535380537675,2000-02-15,907.0,205.0,979.56,234.859536487323,23.104244598506497,23.242302990802102,0.093337702598887,0.119049418392227,602.989910768071,144.573003133571,979.5600000000011,234.859536487323,2020-07-22,515.0,20.8,23.0357417819654,22.9630791772962,0.0171954802309991,0.0179044879751304,2010-10-19,,,0.0,0.0,0.0,0.0,2021-1-10,RI,-0.7
